Ticker,Company,Description
QS,Quantumscape Corp,researching and developing solid-state lithium-metal batteries for use in electric vehicles.
QBTS,D-Wave Quantum Inc,"develops and delivers commercial quantum computing systems, software, and services for enterprise usage. "
PYPL,Paypal Holdings Inc,operates a worldwide digital payments platform that enables digital and mobile payments for consumers and merchants.
RKLB,Rocket Lab Corp,"provides launch services, spacecraft design, and on-orbit management solutions for the space industry. "
IONQ,IonQ Inc,develops general-purpose quantum computing systems using trapped-ion technology for commercial applications.
PATH,Uipath Inc,"offers an end-to-end platform for automation, combining robotic process automation (RPA) with AI capabilities. "
COIN,Coinbase Global Inc,"provides a secure platform for buying, selling, transferring, and storing cryptocurrency assets. "
NFLX,Netflix Inc,"subscription-based streaming service offering a wide variety of award-winning TV shows, movies, and documentaries. "
RIVN,Rivian Automotive Inc,"designs, develops, and manufactures category-defining electric vehicles and accessories for adventure. "
OKLO,Oklo Inc,"designs and deploys advanced fission powerhouses to provide clean, reliable, and affordable energy. "
MSFT,Microsoft Corp,"develops, licenses, and supports software, services, devices, and solutions, including Azure cloud services. "
RDDT,Reddit Inc,"operates a social news aggregation, web content rating, and discussion website organized by communities. "
SNAP,Snap Inc,camera company focused on improving the way people live and communicate through visual messaging.
ACHR,Archer Aviation Inc,designing and developing electric vertical takeoff and landing aircraft for urban air mobility networks.
ORCL,Oracle Corp,"provides products and services that address enterprise information technology environments, including cloud infrastructure. "
LULU,Lululemon Athletica Inc,"designs and retails technical athletic apparel for yoga, running, training, and other sweaty pursuits. "
MP,Mp Materials Corp,owns and operates rare earth mining and processing facilities essential for electric vehicles and clean energy.
DASH,Doordash Inc,operates a logistics platform that connects people with the best in their cities through food delivery.
CVNA,Carvana Co,"e-commerce platform for buying and selling used cars, offering home delivery and automated car vending machines. "
LUMN,Lumen Technologies Inc,provides facilities-based technology and communications services to enterprise and residential customers.
CELH,Celsius Holdings Inc,"develops, markets, and sells functional calorie-burning beverages and fitness drinks. "
DUOL,Duolingo Inc,operates a popular language-learning website and mobile app utilizing gamification for education.
BA,Boeing Co/The,"designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, and telecommunications equipment. "
PFE,Pfizer Inc,"research-based biopharmaceutical company engaging in the discovery, development, and manufacture of healthcare products. "
CMG,Chipotle Mexican Grill Inc,operates a chain of fast-casual restaurants specializing in tacos and mission-style burritos.
MU,Micron Technology Inc,manufactures computer memory and computer data storage including dynamic random-access memory and flash memory.
AVGO,Broadcom Inc,"designs, develops, and supplies a broad range of semiconductor and infrastructure software solutions. "
RKT,Rocket Cos Inc,"fintech platform providing real estate, mortgage, and financial services directly to consumers. "
GM,General Motors Co,"global company committed to delivering safer, better, and more sustainable ways for people to get around. "
DIS,Walt Disney Co/The,diversified international family entertainment and media enterprise with theme parks and streaming services.
TTD,Trade Desk Inc/The,provides a self-service technology platform that enables ad buyers to manage data-driven digital advertising campaigns.
U,Unity Software Inc,"provides a platform for creating and operating interactive, real-time 3D content for various devices. "
BE,Bloom Energy Corp,manufactures and markets solid oxide fuel cells that produce electricity on-site from natural gas or hydrogen.
APP,Applovin Corp,provides software solutions for mobile app developers to grow their businesses through marketing and monetization.
CRM,Salesforce.Com Inc,"provides customer relationship management software and applications focused on sales, service, and marketing automation. "
RIOT,Riot Platforms Inc,"vertically integrated Bitcoin mining company focused on building, owning, and operating blockchain infrastructure. "
ADBE,Adobe Inc,"diversified software company offering creative, marketing, and document management solutions. "
QCOM,Qualcomm Inc,develops and licenses wireless technology and designs semiconductors for mobile devices and networks.
GRAB,Grab Holdings Ltd,"provides a superapp in Southeast Asia for ride-hailing, food delivery, and digital financial services. "
LLY,Eli Lilly & Co,develops and markets pharmaceutical products for human and animal health across various therapeutic areas.
TGT,Target Corp,general merchandise retailer selling products through its stores and digital channels.
UBER,Uber Technologies Inc,develops and operates proprietary technology applications supporting ride-sharing and food delivery services.
T,At&T Inc,"provider of telecommunications, media, and technology services globally, including 5G and fiber networks. "
AG,First Majestic Silver Corp,focused on silver production in Mexico and the aggressive pursuit of acquiring new silver assets.
DECK,Deckers Outdoor Corp,"designs and distributes niche footwear, apparel, and accessories for both high-performance and lifestyle use. "
IBM,International Business Machines Corp,"provides integrated solutions that leverage information technology and business processes, focusing on hybrid cloud and AI. "
F,Ford Motor Co,"designs, manufactures, markets, and services a full line of connected, increasingly electrified passenger and commercial vehicles. "
TEM,Tempus Ai Inc,technology company advancing precision medicine through the practical application of artificial intelligence in healthcare.
JOBY,Joby Aviation Inc,"developing an all-electric vertical takeoff and landing aircraft to operate a fast, quiet, and affordable air taxi service. "
MRNA,Moderna Inc,biotechnology company pioneering messenger RNA (mRNA) therapeutics and vaccines.
B,Barrick Mining Corp,sector-leading gold and copper producer with ownership interests in mining operations and projects worldwide.
